RHS160x80x5,dxf,160,80,5.0,7.5,5.0,17.8,0.467,2273,1515,758,7.440,57.2,93.00,116.1,2.493,33.1,62.32,71.13,6000,106.0,534.20,205.61,102.81,21.86,27.27,14.65,16.71,14.38,a,1,1,1
RHS160x80x6.3,dxf,160,80,6.3,9.4,6.3,22.2,0.464,2823,1882,941,9.032,56.6,112.9,142.4,2.991,32.6,74.78,86.80,7296,127.1,663.32,255.31,127.66,26.53,33.46,17.57,20.40,17.25,a,1,1,1
RHS160x80x8,dxf,160,80,8.0,12.0,8.0,27.6,0.459,3515,2344,1172,10.91,55.7,136.4,174.5,3.558,31.8,88.96,105.6,8831,151.2,826.10,317.97,158.98,32.06,41.01,20.91,24.81,20.51,a,1,1,1
RHS160x80x10,dxf,160,80,10.0,15.0,10.0,33.7,0.454,4293,2862,1431,12.84,54.7,160.6,209.0,4.112,31.0,102.8,125.3,10410,174.8,1008.78,388.28,194.14,37.73,49.12,24.16,29.45,23.72,a,1,1,1
RHS160x80x12.5,dxf,160,80,12.5,18.8,12.5,40.9,0.448,5207,3472,1736,14.85,53.4,185.7,247.2,4.647,29.9,116.2,146.4,12040,197.9,1223.73,471.01,235.51,43.63,58.09,27.30,34.41,26.85,a,1,1,1
RHS180x100x4,dxf,180,100,4.0,6.0,4.0,16.9,0.550,2159,1388,771,9.445,66.1,104.9,128.0,3.794,41.9,75.87,85.16,8521,127.1,507.33,188.30,104.61,24.66,30.08,17.83,20.01,17.25,a,1,3,3
RHS180x100x5,dxf,180,100,5.0,7.5,5.0,21.0,0.547,2673,1718,955,11.53,65.7,128.1,157.3,4.601,41.5,92.02,104.4,10420,154.0,628.20,233.16,129.53,30.10,36.96,21.62,24.52,20.89,a,1,1,1
RHS180x100x6.3,dxf,180,100,6.3,9.4,6.3,26.1,0.544,3327,2139,1188,14.07,65.0,156.4,193.8,5.572,40.9,111.4,128.1,12770,186.2,781.76,290.15,161.20,36.74,45.54,26.19,30.10,25.27,a,1,1,1
RHS180x100x8,dxf,180,100,8.0,12.0,8.0,32.6,0.539,4155,2671,1484,17.13,64.2,190.4,238.8,6.711,40.2,134.2,157.1,15600,224.1,976.50,362.43,201.35,44.74,56.12,31.54,36.91,30.41,a,1,1,1
RHS180x100x10,dxf,180,100,10.0,15.0,10.0,40.0,0.534,5093,3274,1819,20.36,63.2,226.2,287.9,7.874,39.3,157.5,188.2,18620,262.8,1196.78,444.19,246.77,53.17,67.67,37.01,44.23,35.66,a,1,1,1
